item_id,delay_ms,ack_event_sequence,observed_wait_ms,status,ttfa_ms,playback_ack_monotonic_ns,first_response_audio_receipt_monotonic_ns,first_response_audio_event_sequence,speech_onset_sample,clock_id,media_payload_clock_id
item_EQupKzcmJz65VQB9DeqHd,2594.3972499808297,525,17425.355584011413,answered_after_ack,2614.39725,412172221608791,412174836006041,657,90240,worker-63390-412160585950958,plivo-media
item_EQupf4X3CgpLmoOTxyvl1,1856.4303750172257,2139,12459.482292004395,answered_after_ack,1876.430375,412200141188166,412202017618541,2234,307680,worker-63390-412160585950958,plivo-media
item_EQuq2CPwS302ln6SBkxcI,2214.3710000091232,3551,27659.204708004836,answered_after_ack,2234.371,412223801595333,412226035966333,3664,499840,worker-63390-412160585950958,plivo-media
item_EQuqfpv5xD9xOv3Q7HuQd,2734.716999984812,5583,7664.7513750358485,answered_after_ack,2754.717,412260582675208,412263337392208,5722,798240,worker-63390-412160585950958,plivo-media
item_EQuqwZDtIhfztZlhJSL0F,1833.8816249743104,6578,9384.952792024706,answered_after_ack,1853.881625,412277023677958,412278877559583,6672,922560,worker-63390-412160585950958,plivo-media
item_EQurE2REkhmW4NPLiQw16,1957.411790965125,7585,9965.769083006307,answered_after_ack,1977.411791,412294101324625,412296078736416,7685,1060160,worker-63390-412160585950958,plivo-media
item_EQurWN02rE6h60iu9OzGg,2322.95466697542,8637,9592.152750003152,answered_after_ack,2342.954667,412311937827833,412314280782500,8755,1205760,worker-63390-412160585950958,plivo-media
item_EQurnAMuRJ4E0tZsdslWD,2217.286166967824,9653,9359.995124978013,answered_after_ack,2237.286167,412329201897458,412331439183625,9766,1343040,worker-63390-412160585950958,plivo-media
item_EQus4fmB6lF12AM2nKhtc,3637.054499995429,10681,10186.73629197292,answered_after_ack,3657.0545,412346623323458,412350280377958,10865,1493760,worker-63390-412160585950958,plivo-media
item_EQusMuqARvaXD0qEUU0tr,2575.67824999569,11776,10063.942832988687,answered_after_ack,2595.67825,412365285169125,412367880847375,11907,1634560,worker-63390-412160585950958,plivo-media
item_EQusfxTkwZpBhw3VzmUtG,2578.117209021002,12875,9584.019542031456,answered_after_ack,2598.117209,412383943871416,412386541988625,13006,1783840,worker-63390-412160585950958,plivo-media
item_EQusxwIm9G4udNHKuNS1n,,,,incomplete_or_interrupted_playback,,,,,,,
